artist,song,version,UG link,
Five Finger Death Punch,Remember Everything,1,https://tabs.ultimate-guitar.com/tab/five-finger-death-punch/remember-everything-chords-1195921
Five Finger Death Punch,Wrong Side Of Heaven,2,https://tabs.ultimate-guitar.com/tab/five-finger-death-punch/wrong-side-of-heaven-chords-1707664
Flunk,Blind My Mind,1,https://tabs.ultimate-guitar.com/tab/flunk/blind-my-mind-chords-1745349
Flunk,Cigarette Burns,1,https://tabs.ultimate-guitar.com/tab/flunk/cigarette-burns-chords-1413083
Flunk,Only You,1,https://tabs.ultimate-guitar.com/tab/flunk/only-you-chords-2403409
Flunk,Sit Down,1,https://tabs.ultimate-guitar.com/user/tab/view?h=vvFtVETYJi8sbhaHdGYSU06f
Flunk,True Faith,1,https://tabs.ultimate-guitar.com/tab/flunk/true-faith-chords-1755999
Foo Fighters,The Pretender,1,https://tabs.ultimate-guitar.com/tab/foo-fighters/the-pretender-chords-604229
Foo Fighters,The Sky Is A Neighborhood,1,https://tabs.ultimate-guitar.com/tab/foo-fighters/the-sky-is-a-neighborhood-chords-1998287
Fool's Garden,Lemon Tree,2,https://tabs.ultimate-guitar.com/tab/fools-garden/lemon-tree-chords-607747
Foster the People,Pumped Up Kicks,1,https://tabs.ultimate-guitar.com/tab/foster-the-people/pumped-up-kicks-chords-1032143
France Gall,Il Jouait Du Piano Debout,1,https://tabs.ultimate-guitar.com/tab/france-gall/il-jouait-du-piano-debout-chords-1704102
Frank Sinatra,Fly Me To The Moon,2,https://tabs.ultimate-guitar.com/tab/frank-sinatra/fly-me-to-the-moon-chords-335196
Frank Sinatra,My Way,1,https://tabs.ultimate-guitar.com/tab/frank-sinatra/my-way-chords-383263
Garou,Sous Le Vent,1,https://tabs.ultimate-guitar.com/tab/garou/sous-le-vent-chords-1408919
Gary Jules,Mad World,1,https://tabs.ultimate-guitar.com/tab/gary-jules/mad-world-chords-97039
George Ezra,Shotgun,2,https://tabs.ultimate-guitar.com/tab/george-ezra/shotgun-chords-2348569
George Michael,Careless Whisper,3,https://tabs.ultimate-guitar.com/tab/george-michael/careless-whisper-chords-1139126
Georges Brassens,Chanson Pour Lauvergnat,2,https://tabs.ultimate-guitar.com/tab/georges-brassens/chanson-pour-lauvergnat-chords-1214177
Georges Brassens,Je Me Suis Fait Tout Petit,2,https://tabs.ultimate-guitar.com/tab/georges-brassens/je-me-suis-fait-tout-petit-chords-1822695
Georges Brassens,La Mauvaise Réputation,1,https://tabs.ultimate-guitar.com/tab/1824704
Georges Brassens,Les Copains Dabord,3,https://tabs.ultimate-guitar.com/tab/georges-brassens/les-copains-dabord-chords-1495023
Gloria Gaynor,I Will Survive,1,https://tabs.ultimate-guitar.com/tab/gloria-gaynor/i-will-survive-chords-154172
Gnarls Barkley,Crazy,2,https://tabs.ultimate-guitar.com/tab/gnarls-barkley/crazy-chords-377909
